phi,tau,gamma,prior
0.003113591,2.694178462,0.977885997,27.18815499
0.005433937,0.884429924,0.901362458,53.59238832
0.001641534,5.673504727,0.979108258,12.73113713
0.00163017,12.30646775,0.833822895,4.873013892
0.005752666,0.833816533,0.791242218,55.07211597
0.004320952,1.13019289,0.846225386,42.17216594
0.003622175,1.211767022,0.957389372,34.96323903
0.002521807,1.139588308,0.946715762,49.19927869
0.01114199,2.554596132,0.94698077,35.14300988
0.026194328,1.185287415,0.843749634,50.0682684
0.001248556,6.235524948,0.822481878,6.700635349
0.001398432,1.909135473,0.856763041,26.69227598
0.001334825,3.324786493,0.831899273,11.74327277
0.001404247,3.50306182,0.943401062,12.26256889
0.00269994,1.431606063,0.972112021,29.25896538
0.011668858,1.690083284,0.945921077,37.09322921
0.016119047,6.008603916,0.905809824,34.80715289
0.001975918,4.696255668,0.882066026,9.016021668
0.004937383,2.006170036,0.954665863,31.42487186
0.000675259,2.782386913,0.813826512,15.69837445
0.060557145,1.431340415,0.914026116,35.37138921
0.001356074,1.34273974,0.91132216,27.46536302
0.028497987,1.740869212,0.894246398,29.40449889
0.010932702,1.937600665,0.92569272,24.31239397
0.00938794,2.593328713,0.935965752,30.87070919
0.030242781,2.613407722,0.7962797,53.7510959
0.002857493,2.029290195,0.962478749,24.15157019
0.012096033,2.405060001,0.929816878,27.43312643
0.035157317,12.98889781,0.802395773,50.16925482
0.008205623,1.949021373,0.956970531,42.65894925
0.005190906,3.333404245,0.976699949,26.54877058
0.025206154,1.54942155,0.806128442,45.36480646
0.001338151,1.592882428,0.918649511,29.75472588
0.102284926,1.03676387,0.936635973,41.11769232
0.016826461,2.39769061,0.897754351,28.34649718
0.003125072,3.961749257,0.953756197,16.33513042
0.005240169,3.439946907,0.95181057,34.09319552
0.035201245,12.96172159,0.802229054,50.29128645
0.006834655,2.346263167,0.93919596,32.15294926
0.004040458,1.892670816,0.94198841,25.72692907
0.011610178,1.912357373,0.928628453,35.35161388
0.01512229,2.230206245,0.912061023,30.0211645